fraction	superkingdom	phylum	class	order	family	genus	species
9.105971956579753e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidibrevibacterium	s__Acidibrevibacterium sp021841985
9.068804724103916e-05	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__WQYP01	f__WQYP01	g__JAMDCX01	s__JAMDCX01 sp021819825
9.031637491628081e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__JAFKFJ01	s__JAFKFJ01 sp021826485
8.845801329248902e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Halothiobacillales	f__Halothiobacillaceae	g__Halothiobacillus	s__Halothiobacillus sp021795795
8.474129004490545e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__JACWAH01	s__JACWAH01 sp021795055
8.474129004490545e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__JAJZVV01	s__JAJZVV01 sp021815825
8.474129004490545e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__JAJYVT01	s__JAJYVT01 sp021828055
8.436961772014709e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__RAAP-2 sp021784205
8.399794539538874e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__SCQM01	s__SCQM01 sp021844725
8.25112560963553e-05	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Micrarchaeales	f__CABMGC01	g__JAKAUU01	s__JAKAUU01 sp021790305
8.25112560963553e-05	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__JAJZAM01	s__JAJZAM01 sp021815935
8.213958377159695e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus	s__Acidithiobacillus ferrooxidans
8.102456679732187e-05	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__Bog-877	g__JAJYXT01	s__JAJYXT01 sp021827985
7.99095498230468e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidibrevibacterium	s__Acidibrevibacterium sp021798915
7.73078435497383e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__Terracidiphilus sp021781255
7.619282657546323e-05	d__Bacteria	p__Nitrospirota_A	c__Leptospirillia	o__Leptospirillales	f__Leptospirillaceae	g__UBA4572	s__UBA4572 sp021795275
7.619282657546323e-05	d__Bacteria	p__Bacillota_E	c__JAJZIM01	o__JAJZIM01	f__JAJZBP01	g__JAJZBP01	s__JAJZBP01 sp021798855
7.582115425070488e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Metallibacterium	s__Metallibacterium sp021792975
7.582115425070488e-05	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidiphilium	s__Acidiphilium sp021799015
7.507780960118816e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa_A
7.136108635360459e-05	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Ferrovaceae	g__Ferrovum	s__Ferrovum sp021828745
7.061774170408787e-05	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Micrarchaeales	f__Micrarchaeaceae	g__JAMCYM01	s__JAMCYM01 sp021810685
6.875938008029609e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__JAKAFX01	s__JAKAFX01 sp021802055
6.875938008029609e-05	d__Archaea	p__Micrarchaeota	c__Micrarchaeia	o__Micrarchaeales	f__CABMGC01	g__JAKBQS01	s__JAKBQS01 sp021850805
6.838770775553774e-05	d__Bacteria	p__Dependentiae	c__Babeliae	o__Babeliales	f__Vermiphilaceae	g__JAJYDS01	s__JAJYDS01 sp021777215
6.838770775553774e-05	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Cuniculiplasma	s__Cuniculiplasma sp021835265
6.69010184565043e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__JAJZCX01	s__JAJZCX01 sp021798235
6.69010184565043e-05	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__Terriglobales	f__Acidobacteriaceae	g__Terracidiphilus	s__Terracidiphilus sp021805025
